"palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"miedo",1,2.8,2.6,0,0.4472,0.8944,"sustantivo"
"época",2,2,2,0,0,1,"sustantivo"
"acabar",2.2,2.6,2.2,0.4472,0.5477,1.0954,"verbo"
"piel",2.6,2,3,0.5477,0,0,"sustantivo"
"carrera",2.2,2.8,3,0.4472,0.4472,0,"sustantivo"
"construir",2.8,3,3,0.4472,0,0,"verbo"
"obtener",2.4,3,1.8,0.5477,0,0.8367,"verbo"
"brazo",2.2,1.8,3,0.4472,0.4472,0,"sustantivo"
"fuerte",2.6,2.8,2.2,0.5477,0.4472,1.0954,"adjetivo"
"demografía",2,1.8333,1.5,0,0.4082,0.5477,"sustantivo"
"club",2.6667,2.5,2.6667,0.5164,0.5477,0.8165,"sustantivo"
"publicar",2.1667,3,2.3333,0.4082,0,0.8165,"verbo"
"resto",2.1667,2,1.8333,0.4082,0,0.9832,"sustantivo"
"observar",2.3333,2.6667,2.6667,0.5164,0.8165,0.8165,"verbo"
"situar",2,2,2,0,0.8944,0.8944,"verbo"
"temporada",2.3333,2.1667,1.6667,0.5164,0.4082,0.8165,"sustantivo"
"lanzar",2.3333,3,2.8333,0.5164,0,0.4082,"verbo"
"cerrar",1.6667,3,3,0.5164,0,0,"verbo"
"servicio",2.6,2.4,1.6,0.5477,0.8944,0.8944,"sustantivo"
"beso",3,3,3,0,0,0,"sustantivo"
"presidente",1.8,2.8,3,0.4472,0.4472,0,"sustantivo"
"sentido",2.4,2.4,1.6,0.5477,0.5477,0.8944,"sustantivo"
"sonrisa",3,3,3,0,0,0,"sustantivo"
"necesitar",2.4,3,2,0.5477,0,0.7071,"verbo"
"razón",2.6,2.6,1.8,0.5477,0.5477,1.0954,"sustantivo"
"miembro",2.4,2.6,2.8,0.5477,0.5477,0.4472,"sustantivo"
"movimiento",2.6,2.6,2.8,0.5477,0.8944,0.4472,"sustantivo"
"regresar",2.4,3,2.8,0.8944,0,0.4472,"verbo"
"relación",3,3,2.4,0,0,0.8944,"sustantivo"
"frente",2,2,2.2,0,0,0.8367,"sustantivo"
