"","palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad"
"937","reloj",1.8,2.2,3,0.4472,0.4472,0
"938","caricia",3,3,3,0,0,0
"939","motor",2.2,2.8,3,0.4472,0.4472,0
"940","doctor",2.2,2.2,3,0.4472,0.4472,0
"941","presente",2.8,2.4,2.4,0.4472,0.5477,0.8944
"942","completamente",2.6,2.6,2.6,0.5477,0.5477,0.8944
"943","página",2.2,2.4,3,0.4472,0.5477,0
"944","playa",2.8,1.8,3,0.4472,0.8367,0
"945","robar",1,2.8,3,0,0.4472,0
"946","señalar",1.8,2.8,3,0.4472,0.4472,0
"947","totalmente",2.2,1.8,1.8,0.4472,0.4472,0.8367
"948","vacío",1.8,1.6,2.6,0.8367,0.5477,0.8944
"949","incorporar",2.8,2.8,2.2,0.4472,0.4472,1.0954
"950","matrimonio",2.8,2.6,3,0.4472,0.5477,0
"951","capitán",2.4,2.6,3,0.5477,0.5477,0
"952","generar",2.8,2.8,2.2,0.4472,0.4472,1.0954
"953","salvar",3,3,2.8,0,0,0.4472
"954","señal",2.6,2,3,0.5477,0.7071,0
"955","conducir",2.8,3,3,0.4472,0,0
"956","lago",3,2,3,0,0.7071,0
"957","caballo",3,3,3,0,0,0
"958","golpear",1.4,2.8,2.8,0.5477,0.4472,0.4472
"959","asi",2.2,2,1.6,0.4472,0,0.8944
"960","metal",2.4,1.6,2.8,0.8944,0.5477,0.4472
"961","líder",2.4,3,2.4,0.5477,0,0.5477
"962","lejano",1.6,1.6,2.6,0.5477,0.5477,0.8944
"963","abrazo",3,2.2,3,0,0.8367,0
"964","daño",1,2,2.6,0,0.7071,0.8944
"965","recoger",2.2,2.8,3,0.4472,0.4472,0
"966","consecuencia",1.8,2,2,0.4472,0.7071,1
"967","encender",2.6,3,3,0.5477,0,0
"968","costumbre",2.2,2,2.2,0.4472,0.7071,1.0954
"969","baño",2.6,2.2,3,0.5477,0.8367,0
"970","liga",2,1.8,2.2,0,0.4472,0.8367
"971","religioso",1.8,2,2.4,0.4472,0.7071,0.5477
"972","gota",2.6,1.6,3,0.5477,0.5477,0
"973","dudar",1.6,1.6,1.8,0.5477,0.5477,0.8367
"974","caja",2,1.8,3,0,0.8367,0
"975","definir",2.6,2.6,2,0.5477,0.5477,1
"976","atravesar",2.2,2.8,2.4,0.4472,0.4472,0.5477
"977","expresar",2.8,2.8,2.6,0.4472,0.4472,0.8944
"978","medio",1.8,2,2.4,0.4472,0,0.5477
"979","ave",2.8,2.8,3,0.4472,0.4472,0
"980","soldado",1.4,2.6,3,0.5477,0.8944,0
"981","templo",2.4,2,2.6,0.5477,1,0.8944
"982","calidad",2.6,2.4,2,0.5477,0.5477,0.7071
"983","envolver",2,2.2,2.6,0,0.8367,0.5477
"984","sexo",2.8,3,3,0.4472,0,0
"985","clima",2.4,2,3,0.5477,0.7071,0
"986","idioma",2.6,2.6,2.2,0.5477,0.5477,0.8367
"987","torneo",2.4,3,2.8,0.5477,0,0.4472
"988","institución",2.2,2.4,2.2,0.4472,0.8944,1.0954
"989","gol",2.8,3,3,0.4472,0,0
"990","tradición",2.4,2.4,2.6,0.5477,0.8944,0.8944
"991","emitir",2.4,3,1.8,0.5477,0,0.8367
"992","independiente",2.8,2.6,2.2,0.4472,0.5477,1.0954
"993","puro",3,2.2,2.6,0,0.8367,0.8944
"994","sabor",2.6,2.2,2.4,0.5477,0.8367,0.8944
"995","lento",2.2,2.6,2.6,0.4472,0.5477,0.5477
"996","afirmar",2.6,3,2,0.5477,0,0.7071
"997","asunto",2.4,2.4,1.4,0.5477,0.5477,0.5477
"998","maestro",2.6,2.8,3,0.5477,0.4472,0
"999","asociación",1.8,2,1.4,0.4472,0.7071,0.5477
"1000","vencer",2.8,3,3,0.4472,0,0
"1001","revolución",2.8,2.8,2.2,0.4472,0.4472,1.0954
"1002","consistir",2.3333,2.3333,1,0.5164,0.8165,0
"1003","algo",2.2,2.2,1.4,0.4472,0.4472,0.5477
"1004","final",2.2857,2.4286,2.4286,0.488,0.5345,0.7868
"1005","descansar",3,1.5,2.625,0,0.9258,0.744
"1006","funcionar",2.625,2.875,2.5,0.5175,0.3536,0.5345
"1007","gusto",2.5714,2.1429,2.4286,0.5345,0.6901,0.7868
"1008","concepto",2.375,2,1.375,0.5175,0.5345,0.5175
"1009","temor",1.25,2.25,2.875,0.4629,1.0351,0.3536
"1010","conciencia",2.375,2.375,1.875,0.5175,0.744,0.8345
"1011","introducir",2.25,2.875,2.875,0.4629,0.3536,0.3536
"1012","hombro",2.3,2,3,0.483,0.6667,0
"1013","rojo",2.2,2.1,3,0.6325,0.9944,0
"1014","fallecer",1.2,1.7,2.8,0.4216,0.8233,0.6325
"1015","mamá",2.9,2.3,3,0.3162,0.6749,0
"1016","oído",2.2,2.3,2.9,0.6325,0.483,0.3162
"1017","geográfico",2.1818,1.9091,2.2727,0.603,0.8312,0.7862
"1018","erar",1.7143,2.2857,1.7143,0.488,0.488,0.9512
"1019","asegurar",2.4545,2.8182,1.8182,0.6876,0.603,0.8739
"1020","contemplar",2.6364,1.9091,2.8182,0.5045,1.0445,0.4045
"1021","esquina",2.0833,2,3,0.2887,0.4264,0
"1022","cuanto",2.1111,2,1.6667,0.3333,0.5,0.7071
"1023","gato",2.7273,2.1818,2.9091,0.6467,0.7508,0.3015
"1024","encargar",2.1,2.8,2.4,0.3162,0.6325,0.8433
"1025","estadio",2.3333,2.1111,3,0.5,0.6009,0
"1026","curso",2.1111,1.8889,2.7778,0.6009,0.6009,0.441
"1027","recién",2.25,2.375,2.625,0.4629,0.5175,0.744
"1028","animar",2.7143,2.8571,2.5714,0.488,0.378,0.7868
"1029","foto",2.5714,1.5714,2.8571,0.5345,0.5345,0.378
"1030","terreno",2.2857,1.5714,3,0.488,0.7868,0
"1031","locura",1.8571,2.8571,2.4286,0.6901,0.378,0.9759
"1032","corte",1.6667,2,2.5,0.8165,0.8944,0.5477
"1033","salud",2.6,1.6,2.6,0.8944,0.8944,0.5477
"1034","auto",2,2.4,3,0,0.8944,0
"1035","temperatura",2,2.4,2.6,0,0.8944,0.5477
"1036","intención",2,2,1.6667,0.6325,0.8944,0.8165
"1037","dividir",1.8333,2.5,2.3333,0.7528,0.8367,0.5164
"1038","mentira",1.8333,2.3333,2.6667,0.9832,1.0328,0.8165
"1039","desnudo",2.3333,1.8333,3,0.8165,0.9832,0
"1040","depender",1.6,2,2.4,0.5477,1,0.5477
"1041","cristal",2.4,1.4,2.8,0.5477,0.5477,0.4472
"1042","marcha",1.8333,2.3333,2.5,0.7528,0.8165,0.8367
"1043","tarea",2,2.3333,3,0.6325,0.8165,0
"1044","superar",3,2.8571,2.2857,0,0.378,0.7559
"1045","crítico",2.1429,2.5714,2.4286,0.6901,0.5345,0.7868
"1046","frontera",2,1.2857,2.4286,0.8165,0.488,0.9759
"1047","evento",2,2.7143,2,0.5774,0.488,0.5774
"1048","apagar",1.8571,2.4286,2.5714,0.6901,0.9759,0.7868
"1049","teléfono",2.125,2.125,2.75,0.3536,0.8345,0.7071
"1050","haz",2.375,2.25,2,0.744,0.8864,0.9258
"1051","profesional",2.375,2.25,2.25,0.5175,0.7071,0.7071
"1052","clásico",2.625,1.625,2.125,0.744,0.9161,0.991
"1053","tono",2.125,1.875,1.625,0.3536,0.8345,0.744
"1054","primero",2.75,2.5,2.5,0.4629,0.5345,0.7559
"1055","controlar",1.75,3,2.25,0.7071,0,0.7071
"1056","derecha",1.75,1.75,2.5,0.7071,0.8864,0.9258
"1057","cocina",2.625,2.125,2.875,0.5175,0.8345,0.3536
"1058","disputar",1.7778,2.7778,2,0.9718,0.441,0.7071
"1059","raíz",2.2222,1.8889,2.5556,0.441,0.7817,0.7265
"1060","seco",1.7778,1.6667,2.3333,0.6667,0.5,0.7071
"1061","mediar",2.6667,2.7778,2,0.5,0.6667,1
"1062","designar",2,2.375,2,0.5345,0.9161,0.7559
"1063","gesto",2.5,2.3333,2.3333,0.5477,0.8165,0.5164
"1064","detalle",2.6,1.8,2.4,0.5477,0.4472,0.8944
"1065","olvido",1,1.8,2.6,0,1.0954,0.8944
"1066","confundir",1.5,2,2.8333,0.5477,0.8944,0.4082
"1067","diario",2.2857,2.1429,2.2857,0.488,0.8997,0.7559
"1068","punta",2,2.2857,2.5714,0,0.7559,0.7868
"1069","ambiente",2.7143,1.7143,2.4286,0.488,0.9512,0.7868
"1070","comida",3,2,3,0,1.0954,0
"1071","administración",2,2.1667,2.5,0,0.9832,0.5477
"1072","recurso",2.3333,2.1667,2.3333,0.5164,0.9832,0.8165
"1073","contacto",2.6667,2.6667,2.5,0.5164,0.8165,0.5477
"1074","literatura",3,2.1667,3,0,0.9832,0
"1075","guitarra",3,3,3,0,0,0
"1076","mensaje",2.3333,2.1667,2.6667,0.5164,0.7528,0.5164
"1077","completar",2.4286,2.5714,2.5714,0.5345,0.7868,0.5345
"1078","acceso",2.1429,1.8571,2,0.378,0.6901,0.8165
"1079","gris",1.8571,1.2857,2.8571,0.6901,0.488,0.378
"1080","iluminar",2.7143,2.5714,2.7143,0.488,0.7868,0.7559
"1081","soportar",1.25,1.75,2.375,0.4629,0.8864,0.9161
"1082","igual",2.2857,2.1429,2.2857,0.488,0.378,0.7559
"1083","método",2.2857,2.2857,2,0.488,0.488,0.8165
"1084","herir",1.1429,3,2.7143,0.378,0,0.7559
"1085","aragón",2,1.6,1.8,0,0.5477,0.8367
"1086","claro",3,1.8333,2.6667,0,0.9832,0.8165
"1087","finalizar",2.8,3,2.4,0.4472,0,0.8944
"1088","rincón",2.2,2,3,0.4472,0.7071,0
"1089","concierto",2.8333,2.5,3,0.4082,0.8367,0
"1090","defender",2.5,2.6667,2.5,0.5477,0.8165,0.8367
"1091","odiar",1,2.6667,2.1667,0,0.8165,0.7528
"1092","hasta",1.8333,1.8333,1.8333,0.4082,0.4082,0.7528
"1093","masa",2.1667,1.8333,2.3333,0.7528,0.9832,1.0328
"1094","fundación",2.5,2.5,1.8333,0.5477,0.5477,0.9832
"1095","límite",2.1429,2.5714,2.5714,0.6901,0.5345,0.7868
"1096","privar",1.1667,2.1667,1.8333,0.4082,0.9832,0.9832
"1097","federal",2.4,2,1.6,0.5477,0.7071,0.8944
"1098","rayo",2.2,3,3,0.8367,0,0
"1099","congreso",2,2.4,2.4,0.7071,0.5477,0.8944
"1100","pretender",2,2.6,1.8,0.7071,0.5477,0.8367
"1101","saltar",2.8,2.8,3,0.4472,0.4472,0
"1102","coleóptero",1.6,2.4,1.8,0.5477,0.5477,1.0954
"1103","instalar",2.2,2.8,2.2,0.8367,0.4472,1.0954
"1104","hueso",1.6,1.2,3,0.5477,0.4472,0
"1105","pan",3,1.8,3,0,0.8367,0
"1106","entero",2.2,1.8,2.2,0.4472,0.4472,0.8367
"1107","valer",2.6,2.2,1.4,0.5477,0.8367,0.8944
"1108","generalmente",2,2.2,1.6,0,0.8367,0.5477
"1109","inmediato",2,2.8,2.2,0.7071,0.4472,0.8367
"1110","rumbo",2.4286,2.1429,2.5714,0.5345,0.6901,0.5345
"1111","inmenso",2.6,1.6,2.8,0.5477,0.8944,0.4472
"1112","impedir",1.2,3,2.6,0.4472,0,0.5477
"1113","sorpresa",3,2.6,2.4,0,0.8944,0.8944
"1114","extrañar",1.4,2.4,3,0.8944,0.8944,0
"1115","compuesto",2,2,2,0,0,1
"1116","estudiante",2.8,2.8,3,0.4472,0.4472,0
"1117","pleno",2.7143,2.2857,1.7143,0.488,0.7559,0.9512
"1118","diseñar",2.4,3,2.2,0.8944,0,1.0954
"1119","san",2.6,2.2,2.2,0.5477,0.8367,1.0954
"1120","paisaje",2.8571,1.7143,2.8571,0.378,0.9512,0.378
"1121","armar",2.5714,2.8571,2.7143,0.5345,0.378,0.488
"1122","generación",2.1429,2,2.1429,0.378,0.8165,0.8997
"1123","reflejar",2.2857,2.1429,2.8571,0.488,1.069,0.378
"1124","acordar",2.8,2.2,3,0.4472,1.0954,0
"1125","culpa",1,2,2.4,0,0.7071,0.8944
"1126","medir",2,2.8333,2.6667,0,0.4082,0.5164
"1127","emoción",2.8333,2.5,2.3333,0.4082,0.8367,0.8165
"1128","morfología",2,1.6667,1.1667,0,0.5164,0.4082
"1129","cuestión",1.8,1.8,1.6,0.4472,0.4472,0.8944
"1130","emperador",2,2.2,2.8,1,0.8367,0.4472
"1131","arena",2.8,2,3,0.4472,1,0
"1132","ritmo",2.8,2.4,2.4,0.4472,0.8944,0.8944
"1133","misión",2.2,2.2,2.6,0.4472,0.8367,0.5477
"1134","durar",2.2,2.2,2.8,0.4472,0.8367,0.4472
"1135","conflicto",1.1667,2.3333,2.8333,0.4082,0.8165,0.4082
"1136","descripción",2,2.2,2.2,0,0.4472,0.8367
"1137","rico",3,2.4,3,0,0.5477,0
"1138","brillar",3,2.6,3,0,0.8944,0
"1139","aeropuerto",2.2,2,3,0.4472,0.7071,0
"1140","aprovechar",2.4,2.8,2.8,0.5477,0.4472,0.4472
"1141","the",2,2,1.8,0,0,0.4472
"1142","viejo",1.8,1.8,3,0.4472,0.8367,0
"1143","constante",2.2,2,2.8,0.8367,0.7071,0.4472
"1144","biografía",2.3333,2,2.5,0.5164,0.6325,0.5477
"1145","silla",2.1667,1.5,2.8333,0.4082,0.5477,0.4082
"1146","dicha",2.8333,2.1667,2.6667,0.4082,0.7528,0.8165
"1147","justo",2.6667,1.8333,2.5,0.5164,0.7528,0.5477
"1148","coordenada",2,2,2.8333,0,0,0.4082
"1149","negocio",2.1667,2.1667,2.5,0.7528,0.7528,0.8367
"1150","visión",2,2.6667,2.5,0,0.5164,0.8367
"1151","ultimar",1.6667,2.5,2.1667,0.5164,0.5477,0.9832
"1152","mejor",2.6667,1.8333,2.1667,0.5164,0.7528,0.7528
"1153","local",2.1667,1.8333,2,0.4082,0.4082,0.8944
"1154","participación",2.6667,3,2.5,0.5164,0,0.8367
"1155","justicia",2.8333,2.5,2.6667,0.4082,0.8367,0.5164
"1156","gobernar",2.4,2.8,2.8,0.5477,0.4472,0.4472
"1157","pintar",2.8,3,3,0.4472,0,0
"1158","diente",2,2,3,0,0.7071,0
"1159","interesar",2.6,3,2.6,0.5477,0,0.8944
"1160","aparición",2,2.2,3,0.7071,0.4472,0
"1161","localizar",2.4,3,2.4,0.5477,0,0.5477
"1162","técnico",2.4,2.2,2.8,0.5477,0.8367,0.4472
"1163","artístico",2.6,2.4,2.6,0.5477,0.8944,0.8944
"1164","convencer",2,2.8,2.6,0,0.4472,0.5477
"1165","particular",2,1.8,1.8,0,0.4472,0.8367
"1166","asustar",1.2,3,3,0.4472,0,0
"1167","hábitat",2.2,1.8,2.4,0.4472,0.8367,0.8944
"1168","enemigo",1.2,2.6,2.8,0.4472,0.5477,0.4472
"1169","mezclar",2.2,2.8,3,0.4472,0.4472,0
"1170","requerir",2,2.4,1.8,0,0.8944,1.0954
"1171","literario",2.8,1.6,2.4,0.4472,0.5477,0.5477
"1172","primavera",2.8,2.2,3,0.4472,0.8367,0
"1173","escalera",2.2,2.2,3,0.4472,0.4472,0
"1174","médico",2,2.2,3,0.7071,0.8367,0
"1175","colección",2.2,1.8,2.2,0.4472,0.4472,0.8367
"1176","instrumento",2.4,2.4,3,0.5477,0.5477,0
"1177","intenso",2.4,2.2,1.8,0.5477,0.8367,0.8367
"1178","quizá",2.2,1.6,1.6,0.4472,0.5477,0.8944
"1179","carga",1.8,1.8,1.8,0.4472,0.8367,0.8367
"1180","vehículo",2.2,2.4,2.6,0.4472,0.5477,0.8944
"1181","invadir",1.2,3,2.6,0.4472,0,0.5477
"1182","ocultar",1.8,2,2.6,0.4472,1,0.5477
"1183","dejo",2,1.2,1.8,0.7071,0.4472,0.8367
"1184","referencia",2.2,1.8,1.2,0.4472,0.8367,0.4472
"1185","secretario",2,2.4,2.8,0.7071,0.5477,0.4472
"1186","humanidad",2.8,2.2,2.6,0.4472,0.8367,0.5477
"1187","comentar",2.4,2.8,2.6,0.5477,0.4472,0.5477
"1188","actuación",2.4,3,2.8,0.8944,0,0.4472
"1189","guardia",2.2,2.4,2.6,0.4472,0.8944,0.5477
"1190","dibujar",3,3,3,0,0,0
"1191","destinar",2.2,2.6,1.8,0.4472,0.5477,1.0954
"1192","escenario",2.4,2,2.6,0.5477,0.7071,0.5477
"1193","combate",1.4,3,2.4,0.5477,0,0.8944
"1194","visita",2.4,2.6,2.4,0.5477,0.5477,0.8944
"1195","hambre",1,2.6,2.6,0,0.5477,0.8944
"1196","alimento",2.8,2.4,2.8,0.4472,0.8944,0.4472
"1197","femenino",3,2.8,2.6,0,0.4472,0.8944
"1198","quemar",2.2,2.8,2.8,0.4472,0.4472,0.4472
"1199","doble",2.2,2,2.2,0.4472,0,0.8367
"1200","ingresar",2.4,2.8,2.4,0.5477,0.4472,0.5477
"1201","asesinar",1.6,3,2.8,0.8944,0,0.4472
"1202","academia",2,1.6,2.6,0.7071,0.8944,0.8944
"1203","regalo",2.8,2,2.6,0.4472,0.7071,0.8944
"1204","probablemente",2.2,2.2,1.8,0.4472,0.4472,0.8367
"1205","conformar",2.2,2.4,1.6,0.4472,0.5477,0.8944
"1206","muro",1.8,1.8,3,0.4472,0.8367,0
"1207","tender",2,2.6,2.4,0,0.5477,0.8944
"1208","coche",2.4,2.4,2.8,0.5477,0.5477,0.4472
"1209","aéreo",2.4,2.6,2.8,0.5477,0.5477,0.4472
"1210","eléctrico",2,2.8333,2.6667,0,0.4082,0.5164
"1211","castilla",2,1.8,1.8,0.7071,0.4472,1.0954
"1212","plaza",2.5,2.6667,3,0.8367,0.5164,0
"1213","húmedo",1.8333,1.8333,2.8333,0.4082,0.7528,0.4082
"1214","cuadro",2.2,1.2,3,0.4472,0.4472,0
"1215","rosa",2.4,1.6,3,0.5477,0.5477,0
"1216","cariño",2.8,3,2.8,0.4472,0,0.4472
"1217","aplicar",2.2,2.8,1.6,0.8367,0.4472,0.8944
"1218","mejorar",2.8,3,2,0.4472,0,0.7071
"1219","breve",2.2,2.2,1.8,0.4472,0.4472,0.4472
"1220","atrapar",1.6,2.8,2.2,0.5477,0.4472,0.4472
"1221","escudo",1.8,2.2,3,0.4472,0.4472,0
"1222","campeón",2.6,3,2.6,0.5477,0,0.8944
"1223","otorgar",2.6,3,2.2,0.5477,0,0.8367
"1224","lenguaje",2.4,2.4,2.2,0.5477,0.5477,0.8367
"1225","monte",2.2,1.8,3,0.4472,0.4472,0
"1226","extremo",2,2.4,2.2,0,0.8944,1.0954
"1227","ejercer",1.8,3,2,0.4472,0,0.7071
"1228","flotar",2.6,2.2,2.8,0.5477,1.0954,0.4472
"1229","diario",2,2.4,3,0,0.8944,0
"1230","probar",2.8,3,2.4,0.4472,0,0.5477
"1231","fase",2,1.4,1.6,0,0.5477,0.8944
"1232","industria",1.8,2.6,2.8,0.4472,0.5477,0.4472
"1233","afectar",1.6,3,2,0.5477,0,0.7071
"1234","deslizar",2.2,3,2.8,0.4472,0,0.4472
"1235","marido",2.2,2,2.8,0.4472,0,0.4472
"1236","contrato",2,2.2,2.6,0,0.8367,0.5477
"1237","arqueológico",2,1.6,3,0.7071,0.5477,0
"1238","liberar",2.8,3,2.6,0.4472,0,0.8944
"1239","caballero",2.6,2.6,2.8,0.5477,0.5477,0.4472
"1240","alimentar",2.8,3,3,0.4472,0,0
"1241","variar",2.4,2.6,2.4,0.5477,0.5477,0.8944
"1242","orilla",2.3333,1.5,3,0.8165,0.8367,0
"1243","inferior",1.6,1.6,2.6,0.5477,0.5477,0.5477
"1244","hotel",2.8333,1.6667,3,0.4082,0.5164,0
"1245","salón",2.3333,1.6667,3,0.8165,0.5164,0
"1246","sala",2.2,1.6,3,0.4472,0.8944,0
"1247","máquina",2,2.8,2.8,0.7071,0.4472,0.4472
"1248","biblioteca",2.8,1.6,3,0.4472,0.8944,0
"1249","materia",2,1.8,2,0.7071,0.8367,1
"1250","infierno",1.2,2.2,2,0.4472,1.0954,1
"1251","fijar",2.4,3,2.6,0.5477,0,0.8944
"1252","repente",2,2.2,1.2,0,0.4472,0.4472
"1253","extensión",2.4,1.6,2.4,0.5477,0.8944,0.8944
"1254","regreso",2.6,2.8,2.6,0.5477,0.4472,0.5477
"1255","solitario",1.8,1,2.8,0.4472,0,0.4472
"1256","representación",2.4,2.4,1.8,0.5477,0.5477,0.8367
"1257","comisión",1.8,2.6,2.6,0.4472,0.5477,0.5477
"1258","publicación",2.6,2.6,2.6,0.5477,0.5477,0.8944
"1259","aliento",2,2.6,2.6,1,0.5477,0.5477
"1260","asumir",2.2,2.8,2.4,0.4472,0.4472,0.8944
"1261","exterior",2,1.6,2.4,0,0.5477,0.5477
"1262","techo",2.4,1.8,3,0.5477,0.4472,0
"1263","tecnología",2.2,2,3,0.4472,0,0
"1264","directamente",2.4,2.6,2.8,0.5477,0.5477,0.4472
"1265","conversación",3,3,3,0,0,0
"1266","físico",2.4,1.8,2.6,0.5477,0.4472,0.5477
"1267","voluntad",2.6667,2.6667,2.3333,0.5164,0.5164,0.8165
"1268","absoluto",2.1667,2.5,2.1667,0.4082,0.5477,0.7528
"1269","actriz",2.3333,2.5,3,0.5164,0.5477,0
"1270","horizonte",3,1.3333,2.8333,0,0.5164,0.4082
"1271","sur",2.8333,1.8333,2.8333,0.4082,0.4082,0.4082
"1272","polvo",2,2.1667,3,0.6325,0.7528,0
"1273","tormenta",2,2.8333,3,0.6325,0.4082,0
"1274","susurrar",2.6667,2.5,3,0.5164,0.8367,0
"1275","caracterizar",2,2.8333,2.3333,0,0.4082,0.8165
"1276","periódico",2.2,2,2.8,0.4472,0.7071,0.4472
"1277","típico",2.2,2,2.2,0.4472,0.7071,0.8367
"1278","juventud",2.6,2.2,2.8,0.5477,0.8367,0.4472
"1279","botánico",2.6,1.8,2.6,0.5477,0.4472,0.5477
"1280","princesa",2,1.8,2.8,0.7071,0.4472,0.4472
"1281","política",1.8,2.4,2.4,0.8367,0.8944,0.5477
"1282","brillante",2.4,2,2.8,0.5477,0,0.4472
"1283","rama",2.2,1.6,2.8,0.4472,0.5477,0.4472
"1284","presión",1.6,2.4,2.4,0.5477,0.5477,0.8944
"1285","transporte",1.8,2.8,2.8,0.4472,0.4472,0.4472
"1286","prestar",2.4,2.2,2.6,0.5477,0.4472,0.5477
"1287","llegada",2.6,2.6,2.6,0.5477,0.5477,0.5477
"1288","añadir",2,2.6,2.8,0,0.5477,0.4472
"1289","labor",2.2,3,2.8,0.8367,0,0.4472
"1290","respecto",2,2,1.6,0,0,0.8944
"1291","religión",1.6,2,2.8,0.5477,0.7071,0.4472
"1292","precio",1.8,2.2,2.8,0.4472,0.8367,0.4472
"1293","distinguir",2,2.6,2.6,0.7071,0.5477,0.5477
"1294","rechazar",1.4,2.4,2.8,0.8944,0.8944,0.4472
"1295","brisa",3,2.4,2.8,0,0.5477,0.4472
"1296","verso",1.6,2.4,2.4,0.8944,0.8944,0.8944
"1297","aroma",2.8,2.6,2.8,0.4472,0.5477,0.4472
"1298","oponer",2,2.6,2.8,0,0.5477,0.4472
"1299","montar",2.8,2.8,2.8,0.4472,0.4472,0.4472
"1300","columna",2.2,2.2,2.8,0.4472,0.4472,0.4472
"1301","mierda",1.6,2.2,2.8,0.5477,0.4472,0.4472
"1302","falso",1.4,2.2,2.6,0.5477,0.4472,0.5477
"1303","solución",2.4,2.6,2.6,0.5477,0.5477,0.5477
"1304","escaso",1.6,2,2.4,0.5477,0,0.5477
"1305","arrancar",2,2.6,2.8,0,0.5477,0.4472
"1306","amante",2.6,2.6,2.8,0.5477,0.5477,0.4472
"1307","susurro",2.8,2.4,2.8,0.4472,0.5477,0.4472
"1308","código",2.4,2.4,2.8,0.5477,0.5477,0.4472
"1309","búsqueda",2.2,3,2.8,0.8367,0,0.4472
"1310","constitución",2.4,2.2,2.4,0.5477,0.4472,0.8944
"1311","patio",2.4,2,2.8,0.5477,0,0.4472
"1312","voto",2.4,2.8,3,0.5477,0.4472,0
"1313","regional",2.2,2,2.8,0.4472,0,0.4472
"1314","pérdida",1.2,1.6,2.4,0.4472,0.8944,0.5477
"1315","imponer",1.4,3,2.2,0.5477,0,0.4472
"1316","mágico",2.6,2.2,1.8,0.5477,0.4472,0.8367
"1317","documento",2,1.8,2.8,0,0.4472,0.4472
"1318","fantasma",1.8,2,2.6,0.4472,0,0.5477
"1319","gira",2.2,2.6,2.4,0.4472,0.5477,0.5477
"1320","capilla",1.8,1.8,2.8,0.8367,0.4472,0.4472
"1321","leyenda",2.6,2,2.2,0.5477,0.7071,0.8367
"1322","interior",2.4,2,2.4,0.5477,0,0.8944
"1323","mejilla",2.6,1.8,2.8,0.5477,0.8367,0.4472
"1324","pedazo",2,2,2,0,0.7071,0.7071
"1325","sección",2,2.2,1.6,0,0.4472,0.8944
"1326","pájaro",3,2.6,2.8,0,0.5477,0.4472
"1327","demonio",1.4,2.4,2.4,0.5477,0.5477,0.8944
"1328","obispo",1.8,2.2,2.6,0.4472,0.4472,0.5477
"1329","suspiro",3,2,2.6,0,1,0.5477
"1330","humo",1.8,2,2.6,0.4472,0.7071,0.5477
"1331","papa",2.2,1.8,2.8,0.4472,0.8367,0.4472
"1332","roca",2.2,1.4,2.6,0.4472,0.5477,0.5477
"1333","víctima",1.4,1.4,1.6,0.5477,0.5477,0.5477
"1334","colgar",2,2.6,2.2,0,0.5477,0.8367
"1335","individuo",2,1.8,1.6,0,0.4472,0.5477
"1336","titular",2,2.2,1.8,0,0.4472,0.4472
"1337","ajeno",2,2,1.6,0,0.7071,0.8944
"1338","crecimiento",3,3,2,0,0,1
"1339","variedad",2.8,2,2.4,0.4472,0.7071,0.5477
"1340","príncipe",2.6,2.2,2.8,0.5477,0.8367,0.4472
"1341","alumno",2.6,2.2,2.8,0.5477,0.8367,0.4472
"1342","frecuencia",2,2.4,1.6,0,0.8944,0.8944
"1343","terrible",1.6,2.4,2.6,0.5477,0.5477,0.5477
"1344","merecer",2.4,2.2,2.2,0.5477,0.8367,0.8367
"1345","caída",1.6,2.6,2.8,0.5477,0.8944,0.4472
"1346","dólar",2,1.4,3,0.7071,0.5477,0
"1347","deporte",2.8,3,2.8,0.4472,0,0.4472
"1348","provenir",2,1.6,1.6,0,0.8944,0.8944
"1349","llave",2.1667,1.5,3,0.4082,0.5477,0
"1350","compositor",2.8333,2.5,2.3333,0.4082,0.8367,1.0328
"1351","latir",2.8333,3,2.6667,0.4082,0,0.5164
"1352","aplicación",2.1667,2.3333,2.1667,0.4082,0.5164,0.9832
"1353","presente",2.3333,2,2.1667,0.5164,0.8944,0.9832
"1354","exposición",2.3333,2.6667,2.8333,0.5164,0.5164,0.4082
"1355","interno",2.1667,1.8333,1.6667,0.4082,0.4082,0.8165
"1356","sexual",2.8571,3,3,0.378,0,0
"1357","máximo",2.3333,2.3333,2.5,0.5164,0.5164,0.5477
"1358","actitud",2.5,2.8333,2.8333,0.5477,0.4082,0.4082
"1359","carcajada",3,3,3,0,0,0
"1360","catedral",2.8,1.8,3,0.4472,0.4472,0
"1361","encerrar",1.4,2.6,3,0.5477,0.8944,0
"1362","arrastrar",1.2,3,3,0.4472,0,0
"1363","católico",2,2,2.6,0,0.7071,0.8944
"1364","devolver",2.4,2.8,2.8,0.5477,0.4472,0.4472
"1365","relato",2.6,2.4,3,0.5477,0.8944,0
"1366","composición",2.4,2.4,2.4,0.5477,0.5477,0.8944
"1367","nacimiento",2.8,2.4,3,0.4472,0.8944,0
"1368","asentamiento",1.6,2.2,2.8,0.5477,0.8367,0.4472
"1369","símbolo",2.6,2,2.8,0.5477,0.7071,0.4472
"1370","contenido",2.4,2.2,2,0.5477,0.8367,1
"1371","vestido",2.8,1.8,3,0.4472,0.8367,0
"1372","crisis",2,2.4,2.4,1,0.8944,0.8944
