"","palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad"
"386","entregar",2.4,2.8,2.8,0.5477,0.4472,0.4472
"387","comprender",2.6667,2.5,2.5,0.5164,0.8367,0.5477
"388","vivo",2.5,2.8333,2.6667,0.5477,0.4082,0.5164
"389","territorio",2.1667,1.6667,2.8333,0.4082,0.5164,0.4082
"390","luna",2.8333,1.6667,3,0.4082,0.5164,0
"391","vuelta",2.1667,2.5,2.5,0.4082,0.5477,0.5477
"392","ofrecer",2.75,3,2.875,0.7071,0,0.3536
"393","destino",2.4,2,2.2,0.5477,1,0.8367
"394","hoja",2.4,1.8,3,0.5477,0.4472,0
"395","sombra",2.4,1.8,3,0.5477,0.4472,0
"396","diverso",2.4,2.2,2.2,0.5477,0.8367,0.8367
"397","base",2,2,2.2,0,0,0.8367
"398","público",2.4,2.4,2.8,0.8944,0.5477,0.4472
"399","mover",2.2,2.8,2.6,0.8367,0.4472,0.5477
"400","libre",2.8,2.6,2.2,0.4472,0.5477,1.0954
"401","batalla",1.4,2.8,2.8,0.5477,0.4472,0.4472
"402","fondo",2,1.6,2.8,0.7071,0.5477,0.4472
"403","acariciar",2.8,3,3,0.4472,0,0
"404","millón",2,2,2.2,0,0,0.8367
"405","fuego",2.8,3,3,0.4472,0,0
"406","flor",3,2.2,3,0,0.4472,0
"407","don",2.8,2.2,2.6,0.4472,0.8367,0.5477
"408","resultar",2,2.4,2,0,0.8944,1
"409","planta",3,2.2,3,0,0.4472,0
"410","acuerdo",2.4,3,2.6,0.5477,0,0.5477
"411","nombrar",2,2.8,2.4,0,0.4472,0.8944
"412","joven",2.2,2.2,2.6,0.4472,0.4472,0.5477
"413","crecer",2.8,3,2.6,0.4472,0,0.5477
"414","premio",2.8,2.4,2.8,0.4472,0.8944,0.4472
"415","componer",2.6,3,2.6,0.5477,0,0.5477
"416","viaje",2.6,2.8,2.8,0.5477,0.4472,0.4472
"417","modo",2,1.8,1.6,0,0.4472,0.5477
