palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
papel,2.4,2.4,2.8,0.5477,0.5477,0.4472,sustantivo
línea,2.2,2,3,0.4472,0.7071,0,sustantivo
ejemplo,2.2,2.6,2,0.4472,0.5477,0.7071,sustantivo
arte,3,2.8,2.6,0,0.4472,0.8944,sustantivo
sangre,2,2,3,0.7071,0.7071,0,sustantivo
estrella,3,2.6,3,0,0.5477,0,sustantivo
edad,2,2,2,0.7071,0.7071,0.7071,sustantivo
derecho,2.2,2.6,2,0.4472,0.5477,0.7071,sustantivo
labio,2.4,2.4,3,0.5477,0.5477,0,sustantivo
dios,2,2,1.6,0.7071,0.7071,0.8944,sustantivo
posible,2.8,2.2,2.4,0.4472,0.4472,0.8944,adjetivo
pueblo,2.6,1.8,2.6,0.5477,0.8367,0.5477,sustantivo
medio,2,2,2.6,0,0,0.8944,sustantivo
espacio,2.4,1.4,2,0.5477,0.5477,0.7071,sustantivo
distrito,2,2,2,0,0,0.7071,sustantivo
minuto,1.8,2.2,2,0.4472,0.4472,0,sustantivo
igual,2.2,2,2.6,0.4472,0,0.5477,adjetivo
departamento,2.2,1.8,2.8,0.4472,0.4472,0.4472,sustantivo
nada,2,1.6,2,0,0.5477,1,adverbio
cambio,2.6,2.8,2,0.5477,0.4472,0.7071,sustantivo
gracia,2.8,2.2,2,0.4472,0.4472,1,sustantivo
blanco,2.6,1.6,3,0.5477,0.8944,0,adjetivo
personaje,2.8,2.6,2.4,0.4472,0.5477,0.5477,sustantivo
semana,2,2.4,2.6,0.7071,0.5477,0.5477,sustantivo
bajo,2,1.8,3,0,0.4472,0,adjetivo
antiguo,2.6,1.4,2.8,0.5477,0.5477,0.4472,adjetivo
localidad,2,2,2,0,0,0.7071,sustantivo
lleno,2.2,1.6,3,0.4472,0.5477,0,adjetivo
ser,2.8,3,2.2,0.4472,0,1.0954,sustantivo
principio,2.4,2.4,1.8,0.5477,0.5477,0.8367,sustantivo
negro,2,1.6,2.8,0,0.5477,0.4472,adjetivo
oscuro,2,1.6,2.8,0,0.5477,0.4472,adjetivo
ejército,1.6,2.6,3,0.8944,0.5477,0,sustantivo
densidad,2,1.8,1.8,0,0.4472,0.8367,sustantivo
frente,2,1.8,2,0,0.4472,0.7071,adverbio
hermoso,3,2.2,2.6,0,0.8367,0.8944,adjetivo
feliz,3,2.8,2.4,0,0.4472,0.8944,adjetivo
poblacional,2,1.8,1.6,0,0.4472,0.5477,adjetivo
situación,2,2,1.6,0,0.7071,0.5477,sustantivo
anterior,2.2,1.8,1.6,0.4472,0.4472,0.8944,adjetivo
largo,1.8,2,2.4,0.4472,0.7071,0.8944,adjetivo
distinto,2.2,2.2,2.2,0.4472,0.4472,1.0954,adjetivo
social,2.4,2,2,0.5477,0.7071,1,adjetivo
título,1.8,2,2.6,0.4472,0,0.8944,sustantivo
